Source,Interaction,Target
reactome:PathwayStep6852,bp3:nextStep,reactome:PathwayStep6865
reactome:PathwayStep6830,bp3:nextStep,reactome:PathwayStep7272
reactome:PathwayStep6841,bp3:nextStep,reactome:PathwayStep6840
reactome:PathwayStep6845,bp3:nextStep,reactome:PathwayStep6847
reactome:PathwayStep6855,bp3:nextStep,reactome:PathwayStep13151
reactome:PathwayStep6843,bp3:nextStep,reactome:PathwayStep6844
reactome:PathwayStep6836,bp3:nextStep,reactome:PathwayStep6837
reactome:PathwayStep6852,bp3:nextStep,reactome:PathwayStep6853
reactome:PathwayStep6864,bp3:nextStep,reactome:PathwayStep6861
reactome:PathwayStep6830,bp3:nextStep,reactome:PathwayStep6831
reactome:PathwayStep6831,bp3:nextStep,reactome:PathwayStep6832
reactome:PathwayStep6839,bp3:nextStep,reactome:PathwayStep6908
reactome:PathwayStep6844,bp3:nextStep,reactome:PathwayStep6841
reactome:PathwayStep6843,bp3:nextStep,reactome:PathwayStep9104
reactome:PathwayStep6826,bp3:nextStep,reactome:PathwayStep6827
reactome:PathwayStep6870,bp3:nextStep,reactome:PathwayStep6871
reactome:PathwayStep6865,bp3:nextStep,reactome:PathwayStep6867
reactome:PathwayStep6862,bp3:nextStep,reactome:PathwayStep6863
reactome:PathwayStep6842,bp3:nextStep,reactome:PathwayStep6845
reactome:PathwayStep6851,bp3:nextStep,reactome:PathwayStep6852
reactome:PathwayStep6828,bp3:nextStep,reactome:PathwayStep7413
reactome:PathwayStep6835,bp3:nextStep,reactome:PathwayStep6836
reactome:PathwayStep6830,bp3:nextStep,reactome:PathwayStep7584
reactome:PathwayStep6839,bp3:nextStep,reactome:PathwayStep6841
reactome:PathwayStep6830,bp3:nextStep,reactome:PathwayStep13154
reactome:PathwayStep6856,bp3:nextStep,reactome:PathwayStep6857
reactome:PathwayStep6834,bp3:nextStep,reactome:PathwayStep6835
reactome:PathwayStep6857,bp3:nextStep,reactome:PathwayStep6858
reactome:PathwayStep6848,bp3:nextStep,reactome:PathwayStep6849
reactome:PathwayStep6831,bp3:nextStep,reactome:PathwayStep8993
reactome:PathwayStep6830,bp3:nextStep,reactome:PathwayStep6836
reactome:PathwayStep6857,bp3:nextStep,reactome:PathwayStep6864
reactome:PathwayStep6830,bp3:nextStep,reactome:PathwayStep7289
reactome:PathwayStep6836,bp3:nextStep,reactome:PathwayStep8993
reactome:PathwayStep6842,bp3:nextStep,reactome:PathwayStep6843
reactome:PathwayStep6864,bp3:nextStep,reactome:PathwayStep6870
reactome:PathwayStep6830,bp3:nextStep,reactome:PathwayStep7082
reactome:PathwayStep6840,bp3:nextStep,reactome:PathwayStep6842
reactome:PathwayStep6839,bp3:nextStep,reactome:PathwayStep6840
reactome:PathwayStep6861,bp3:nextStep,reactome:PathwayStep6862
reactome:PathwayStep6865,bp3:nextStep,reactome:PathwayStep6868
reactome:PathwayStep6827,bp3:nextStep,reactome:PathwayStep6828
reactome:PathwayStep6855,bp3:nextStep,reactome:PathwayStep6856
reactome:PathwayStep6845,bp3:nextStep,reactome:PathwayStep6846
reactome:PathwayStep6863,bp3:nextStep,reactome:PathwayStep6857
reactome:PathwayStep6871,bp3:nextStep,reactome:PathwayStep6872
reactome:PathwayStep6845,bp3:nextStep,reactome:PathwayStep6848
reactome:PathwayStep6852,bp3:nextStep,reactome:PathwayStep6854
reactome:PathwayStep6845,bp3:nextStep,reactome:PathwayStep6849
