pathwayStart,pathway_component,direct_component
http://www.reactome.org/biopax/65/48887#Pathway2275,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,http://www.reactome.org/biopax/65/48887#BiochemicalReaction12383
http://www.reactome.org/biopax/65/48887#Pathway2275,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,http://www.reactome.org/biopax/65/48887#BiochemicalReaction12384
http://www.reactome.org/biopax/65/48887#Pathway2275,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,http://www.reactome.org/biopax/65/48887#Pathway2277
http://www.reactome.org/biopax/65/48887#Pathway2275,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,http://www.reactome.org/biopax/65/48887#BiochemicalReaction12385
http://www.reactome.org/biopax/65/48887#Pathway2275,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,http://www.reactome.org/biopax/65/48887#Pathway2276
http://www.reactome.org/biopax/65/48887#Pathway2275,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,http://www.reactome.org/biopax/65/48887#BiochemicalReaction12381
http://www.reactome.org/biopax/65/48887#Pathway2275,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,http://www.reactome.org/biopax/65/48887#BiochemicalReaction12386
http://www.reactome.org/biopax/65/48887#Pathway2275,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,http://www.reactome.org/biopax/65/48887#Pathway2280
http://www.reactome.org/biopax/65/48887#Pathway2275,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,http://www.reactome.org/biopax/65/48887#BiochemicalReaction12382
http://www.reactome.org/biopax/65/48887#Pathway2275,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,http://www.reactome.org/biopax/65/48887#BiochemicalReaction12387
http://www.reactome.org/biopax/65/48887#Pathway2275,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,http://www.reactome.org/biopax/65/48887#Pathway2279
http://www.reactome.org/biopax/65/48887#Pathway2275,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,http://www.reactome.org/biopax/65/48887#Pathway2278
