Source,Interaction,Target
reactome:Pathway1394,bp3:pathwayComponent,reactome:BiochemicalReaction5471
reactome:Pathway1393,bp3:pathwayComponent,reactome:BiochemicalReaction5466
reactome:Pathway1394,bp3:pathwayComponent,reactome:BiochemicalReaction5479
reactome:Pathway1394,bp3:pathwayOrder,reactome:PathwayStep6866
reactome:Pathway1394,bp3:pathwayOrder,reactome:PathwayStep6861
reactome:Pathway1394,bp3:pathwayComponent,reactome:BiochemicalReaction5475
reactome:Pathway1393,bp3:pathwayOrder,reactome:PathwayStep6843
reactome:Pathway1392,bp3:pathwayOrder,reactome:PathwayStep6836
reactome:Pathway1394,bp3:pathwayOrder,reactome:PathwayStep6872
reactome:Pathway1392,bp3:pathwayOrder,reactome:PathwayStep6834
reactome:Pathway1394,bp3:pathwayComponent,reactome:BiochemicalReaction5477
reactome:Pathway1394,bp3:pathwayOrder,reactome:PathwayStep6867
reactome:Pathway1394,bp3:pathwayOrder,reactome:PathwayStep6865
reactome:Pathway1393,bp3:pathwayOrder,reactome:PathwayStep6841
reactome:Pathway1394,bp3:pathwayComponent,reactome:BiochemicalReaction5488
reactome:Pathway1394,bp3:pathwayOrder,reactome:PathwayStep6860
reactome:Pathway1392,bp3:pathwayComponent,reactome:BiochemicalReaction5455
reactome:Pathway1394,bp3:pathwayOrder,reactome:PathwayStep6871
reactome:Pathway1394,bp3:pathwayComponent,reactome:BiochemicalReaction5489
reactome:Pathway1394,bp3:pathwayComponent,reactome:BiochemicalReaction5473
reactome:Pathway1393,bp3:pathwayComponent,reactome:BiochemicalReaction5459
reactome:Pathway1390,bp3:pathwayComponent,reactome:BiochemicalReaction5447
reactome:Pathway1394,bp3:pathwayOrder,reactome:PathwayStep6870
reactome:Pathway1390,bp3:pathwayComponent,reactome:BiochemicalReaction5449
reactome:Pathway1394,bp3:pathwayComponent,reactome:BiochemicalReaction5472
reactome:Pathway1393,bp3:pathwayOrder,reactome:PathwayStep6846
reactome:Pathway1391,bp3:pathwayOrder,reactome:PathwayStep6831
reactome:Pathway1392,bp3:displayName,SHC1 events in EGFR signaling
reactome:Pathway1394,bp3:pathwayOrder,reactome:PathwayStep6862
reactome:Pathway1394,bp3:pathwayComponent,reactome:BiochemicalReaction5486
reactome:Pathway1394,bp3:pathwayComponent,reactome:BiochemicalReaction5478
reactome:Pathway1394,bp3:pathwayOrder,reactome:PathwayStep6852
reactome:Pathway1393,bp3:displayName,GAB1 signalosome
reactome:Pathway1394,bp3:pathwayComponent,reactome:BiochemicalReaction5483
reactome:Pathway1394,bp3:pathwayComponent,reactome:BiochemicalReaction5482
reactome:Pathway1393,bp3:pathwayOrder,reactome:PathwayStep6849
reactome:Pathway1390,bp3:pathwayOrder,reactome:PathwayStep6826
reactome:Pathway1392,bp3:pathwayComponent,reactome:BiochemicalReaction5453
reactome:Pathway1394,bp3:pathwayOrder,reactome:PathwayStep6863
reactome:Pathway1391,bp3:pathwayOrder,reactome:PathwayStep6832
reactome:Pathway1393,bp3:pathwayComponent,reactome:BiochemicalReaction5462
reactome:Pathway1394,bp3:pathwayOrder,reactome:PathwayStep6859
reactome:Pathway1394,bp3:displayName,EGFR downregulation
reactome:Pathway1393,bp3:pathwayComponent,reactome:BiochemicalReaction5464
reactome:Pathway1394,bp3:pathwayComponent,reactome:BiochemicalReaction5474
reactome:Pathway1393,bp3:pathwayComponent,reactome:BiochemicalReaction5458
reactome:Pathway1392,bp3:pathwayOrder,reactome:PathwayStep6837
reactome:Pathway1393,bp3:pathwayComponent,reactome:BiochemicalReaction5461
reactome:Pathway1393,bp3:pathwayOrder,reactome:PathwayStep6839
reactome:Pathway1393,bp3:pathwayOrder,reactome:PathwayStep6844
reactome:Pathway1394,bp3:pathwayComponent,reactome:BiochemicalReaction5476
reactome:Pathway1390,bp3:pathwayOrder,reactome:PathwayStep6827
reactome:Pathway1390,bp3:displayName,EGFR interacts with phospholipase C-gamma
reactome:Pathway1392,bp3:pathwayComponent,reactome:BiochemicalReaction5456
reactome:Pathway1394,bp3:pathwayOrder,reactome:PathwayStep6851
reactome:Pathway1394,bp3:pathwayOrder,reactome:PathwayStep6854
reactome:Pathway1393,bp3:pathwayComponent,reactome:BiochemicalReaction5457
reactome:Pathway1394,bp3:pathwayComponent,reactome:BiochemicalReaction5480
reactome:Pathway1394,bp3:pathwayComponent,reactome:BiochemicalReaction5485
reactome:Pathway1393,bp3:pathwayComponent,reactome:BiochemicalReaction5460
reactome:Pathway1391,bp3:displayName,GRB2 events in EGFR signaling
reactome:Pathway1394,bp3:pathwayOrder,reactome:PathwayStep6853
reactome:Pathway1394,bp3:pathwayComponent,reactome:BiochemicalReaction5484
reactome:Pathway1391,bp3:pathwayComponent,reactome:BiochemicalReaction5451
reactome:Pathway1394,bp3:pathwayOrder,reactome:PathwayStep6855
reactome:Pathway1394,bp3:pathwayOrder,reactome:PathwayStep6869
reactome:Pathway1393,bp3:pathwayOrder,reactome:PathwayStep6848
reactome:Pathway1393,bp3:pathwayOrder,reactome:PathwayStep6840
reactome:Pathway1394,bp3:pathwayOrder,reactome:PathwayStep6858
reactome:Pathway1394,bp3:pathwayOrder,reactome:PathwayStep6864
reactome:Pathway1394,bp3:pathwayComponent,reactome:BiochemicalReaction5468
reactome:Pathway1393,bp3:pathwayComponent,reactome:BiochemicalReaction5467
reactome:Pathway1393,bp3:pathwayComponent,reactome:BiochemicalReaction5465
reactome:Pathway1390,bp3:pathwayOrder,reactome:PathwayStep6828
reactome:Pathway1394,bp3:pathwayOrder,reactome:PathwayStep6868
reactome:Pathway1394,bp3:pathwayOrder,reactome:PathwayStep6856
reactome:Pathway1390,bp3:pathwayComponent,reactome:BiochemicalReaction5448
reactome:Pathway1393,bp3:pathwayOrder,reactome:PathwayStep6842
reactome:Pathway1393,bp3:pathwayComponent,reactome:BiochemicalReaction5463
reactome:Pathway1393,bp3:pathwayOrder,reactome:PathwayStep6845
reactome:Pathway1393,bp3:pathwayOrder,reactome:PathwayStep6847
reactome:Pathway1392,bp3:pathwayComponent,reactome:BiochemicalReaction5454
reactome:Pathway1394,bp3:pathwayComponent,reactome:BiochemicalReaction5469
reactome:Pathway1394,bp3:pathwayOrder,reactome:PathwayStep6857
reactome:Pathway1394,bp3:pathwayComponent,reactome:BiochemicalReaction5481
reactome:Pathway1392,bp3:pathwayOrder,reactome:PathwayStep6835
reactome:Pathway1394,bp3:pathwayComponent,reactome:BiochemicalReaction5487
reactome:Pathway1391,bp3:pathwayComponent,reactome:BiochemicalReaction5452
reactome:Pathway1391,bp3:pathwayComponent,reactome:BiochemicalReaction5450
reactome:Pathway1391,bp3:pathwayOrder,reactome:PathwayStep6830
reactome:Pathway1394,bp3:pathwayComponent,reactome:BiochemicalReaction5470
