Source,Interaction,Target
reactome:Pathway1389,bp3:pathwayOrder,reactome:PathwayStep6873
reactome:Pathway1389,bp3:pathwayOrder,reactome:PathwayStep6824
reactome:Pathway1389,bp3:pathwayOrder,reactome:PathwayStep6838
reactome:Pathway1389,bp3:pathwayOrder,reactome:PathwayStep6850
reactome:Pathway1389,bp3:pathwayOrder,reactome:PathwayStep6819
reactome:Pathway1389,bp3:pathwayOrder,reactome:PathwayStep6821
reactome:Pathway1389,bp3:pathwayOrder,reactome:PathwayStep6823
reactome:Pathway1389,bp3:pathwayOrder,reactome:PathwayStep6820
reactome:Pathway1389,bp3:pathwayOrder,reactome:PathwayStep6833
reactome:Pathway1389,bp3:pathwayOrder,reactome:PathwayStep6822
reactome:Pathway1389,bp3:pathwayOrder,reactome:PathwayStep6825
reactome:Pathway1389,bp3:pathwayOrder,reactome:PathwayStep6829
