Source,Interaction,Target
reactome:PathwayStep6819,bp3:stepProcess,reactome:BiochemicalReaction5440
reactome:PathwayStep6824,bp3:nextStep,reactome:PathwayStep6840
reactome:PathwayStep6824,bp3:stepProcess,reactome:BiochemicalReaction5445
reactome:PathwayStep6823,bp3:nextStep,reactome:PathwayStep6824
reactome:PathwayStep6825,bp3:nextStep,reactome:PathwayStep6851
reactome:PathwayStep6829,bp3:stepProcess,reactome:Pathway1390
reactome:PathwayStep6822,bp3:nextStep,reactome:PathwayStep7468
reactome:PathwayStep6822,bp3:stepProcess,reactome:Control746
reactome:PathwayStep6825,bp3:nextStep,reactome:PathwayStep6840
reactome:PathwayStep6820,bp3:stepProcess,reactome:BiochemicalReaction5441
reactome:PathwayStep6824,bp3:nextStep,reactome:PathwayStep6831
reactome:PathwayStep6820,bp3:nextStep,reactome:PathwayStep6823
reactome:PathwayStep6822,bp3:stepProcess,reactome:BiochemicalReaction5443
reactome:PathwayStep6824,bp3:nextStep,reactome:PathwayStep8884
reactome:PathwayStep6819,bp3:nextStep,reactome:PathwayStep6822
reactome:PathwayStep6821,bp3:stepProcess,reactome:BiochemicalReaction5442
reactome:PathwayStep6825,bp3:nextStep,reactome:PathwayStep6831
reactome:PathwayStep6822,bp3:nextStep,reactome:PathwayStep7525
reactome:PathwayStep6824,bp3:stepProcess,reactome:Catalysis2347
reactome:PathwayStep6824,bp3:nextStep,reactome:PathwayStep6826
reactome:PathwayStep6824,bp3:nextStep,reactome:PathwayStep6856
reactome:PathwayStep6824,bp3:stepProcess,reactome:Control748
reactome:PathwayStep6825,bp3:stepProcess,reactome:BiochemicalReaction5446
reactome:PathwayStep6873,bp3:stepProcess,reactome:Pathway1394
reactome:PathwayStep6833,bp3:stepProcess,reactome:Pathway1391
reactome:PathwayStep6822,bp3:nextStep,reactome:PathwayStep6823
reactome:PathwayStep6824,bp3:nextStep,reactome:PathwayStep6834
reactome:PathwayStep6821,bp3:nextStep,reactome:PathwayStep6824
reactome:PathwayStep6824,bp3:nextStep,reactome:PathwayStep8397
reactome:PathwayStep6825,bp3:nextStep,reactome:PathwayStep6826
reactome:PathwayStep6825,bp3:stepProcess,reactome:Catalysis2348
reactome:PathwayStep6825,bp3:nextStep,reactome:PathwayStep6856
reactome:PathwayStep6823,bp3:nextStep,reactome:PathwayStep3243
reactome:PathwayStep6838,bp3:stepProcess,reactome:Pathway1392
reactome:PathwayStep6823,bp3:stepProcess,reactome:Control747
reactome:PathwayStep6825,bp3:nextStep,reactome:PathwayStep6834
reactome:PathwayStep6850,bp3:stepProcess,reactome:Pathway1393
reactome:PathwayStep6823,bp3:stepProcess,reactome:BiochemicalReaction5444
reactome:PathwayStep6819,bp3:stepProcess,reactome:Catalysis2346
reactome:PathwayStep6824,bp3:nextStep,reactome:PathwayStep6851
reactome:PathwayStep6823,bp3:nextStep,reactome:PathwayStep6825
