Source,Interaction,Target
reactome:BiochemicalReaction5481,bp3:displayName,Assembly of EGFR complex in clathrin-coated vesicles
reactome:BiochemicalReaction5449,bp3:displayName,Active PLC-gamma1 dissociates from EGFR
reactome:BiochemicalReaction5479,bp3:conversionDirection,LEFT-TO-RIGHT
reactome:BiochemicalReaction5469,bp3:conversionDirection,LEFT-TO-RIGHT
reactome:BiochemicalReaction5474,bp3:conversionDirection,LEFT-TO-RIGHT
reactome:BiochemicalReaction5467,bp3:right,reactome:Protein19164
reactome:BiochemicalReaction5447,bp3:left,reactome:Complex3916
reactome:BiochemicalReaction5468,bp3:right,reactome:Complex7557
reactome:BiochemicalReaction5457,bp3:left,reactome:Protein7643
reactome:BiochemicalReaction5488,bp3:right,reactome:SmallMolecule28
reactome:BiochemicalReaction5473,bp3:left,reactome:Complex3916
reactome:BiochemicalReaction5459,bp3:displayName,"GAB1 binds phosphatidylinositol-3,4,5-trisphosphate"
reactome:BiochemicalReaction5450,bp3:displayName,GRB2-1 binds SOS1
reactome:BiochemicalReaction5488,bp3:conversionDirection,LEFT-TO-RIGHT
reactome:BiochemicalReaction5469,bp3:right,reactome:SmallMolecule28
reactome:BiochemicalReaction5449,bp3:right,reactome:Protein8743
reactome:BiochemicalReaction5453,bp3:left,reactome:Protein7651
reactome:BiochemicalReaction5474,bp3:right,reactome:SmallMolecule28
reactome:BiochemicalReaction5469,bp3:left,reactome:SmallMolecule27
reactome:BiochemicalReaction5474,bp3:left,reactome:SmallMolecule27
reactome:BiochemicalReaction5483,bp3:right,reactome:Complex7559
reactome:BiochemicalReaction5481,bp3:right,reactome:Complex7567
reactome:BiochemicalReaction5467,bp3:left,reactome:SmallMolecule23
reactome:BiochemicalReaction5471,bp3:left,reactome:Protein908
reactome:BiochemicalReaction5480,bp3:displayName,CBL escapes CDC42-mediated inhibition by down-regulating the adaptor molecule Beta-Pix
reactome:BiochemicalReaction5456,bp3:left,reactome:Complex2400
reactome:BiochemicalReaction5479,bp3:displayName,CIN85 dissociates from EGF:p-6Y-EGFR:CBL:Beta-Pix:CDC42:GTP:CIN85
reactome:BiochemicalReaction5477,bp3:left,reactome:Protein8744
reactome:BiochemicalReaction5488,bp3:left,reactome:SmallMolecule27
reactome:BiochemicalReaction5483,bp3:displayName,CBL ubiquitinates Sprouty
reactome:BiochemicalReaction5479,bp3:left,reactome:Complex7568
reactome:BiochemicalReaction5461,bp3:right,reactome:Complex3914
reactome:BiochemicalReaction5477,bp3:conversionDirection,LEFT-TO-RIGHT
reactome:BiochemicalReaction5470,bp3:left,reactome:Protein19165
