Source,Interaction,Target
reactome:PathwayStep6867,bp3:stepProcess,reactome:Catalysis2366
reactome:PathwayStep6835,bp3:stepProcess,reactome:Catalysis2351
reactome:PathwayStep6872,bp3:stepProcess,reactome:Catalysis2369
reactome:PathwayStep6851,bp3:stepProcess,reactome:BiochemicalReaction5468
reactome:PathwayStep6858,bp3:stepProcess,reactome:Catalysis2363
reactome:PathwayStep6855,bp3:stepProcess,reactome:BiochemicalReaction5472
reactome:PathwayStep6866,bp3:stepProcess,reactome:BiochemicalReaction5483
reactome:PathwayStep6847,bp3:stepProcess,reactome:Catalysis2356
reactome:PathwayStep6830,bp3:stepProcess,reactome:BiochemicalReaction5450
reactome:PathwayStep6862,bp3:stepProcess,reactome:BiochemicalReaction5479
reactome:PathwayStep6842,bp3:stepProcess,reactome:Catalysis2353
reactome:PathwayStep6832,bp3:stepProcess,reactome:BiochemicalReaction5452
reactome:PathwayStep6828,bp3:stepProcess,reactome:BiochemicalReaction5449
reactome:PathwayStep6852,bp3:stepProcess,reactome:BiochemicalReaction5469
reactome:PathwayStep6827,bp3:stepProcess,reactome:BiochemicalReaction5448
reactome:PathwayStep6846,bp3:stepProcess,reactome:BiochemicalReaction5464
reactome:PathwayStep6844,bp3:stepProcess,reactome:Catalysis2354
reactome:PathwayStep6831,bp3:stepProcess,reactome:BiochemicalReaction5451
reactome:PathwayStep6861,bp3:stepProcess,reactome:BiochemicalReaction5478
reactome:PathwayStep6842,bp3:stepProcess,reactome:BiochemicalReaction5460
reactome:PathwayStep6848,bp3:stepProcess,reactome:BiochemicalReaction5466
reactome:PathwayStep6848,bp3:stepProcess,reactome:Catalysis2357
reactome:PathwayStep6865,bp3:stepProcess,reactome:BiochemicalReaction5482
reactome:PathwayStep6870,bp3:stepProcess,reactome:BiochemicalReaction5487
reactome:PathwayStep6844,bp3:stepProcess,reactome:BiochemicalReaction5462
reactome:PathwayStep6871,bp3:stepProcess,reactome:BiochemicalReaction5488
reactome:PathwayStep6864,bp3:stepProcess,reactome:BiochemicalReaction5481
reactome:PathwayStep6857,bp3:stepProcess,reactome:BiochemicalReaction5474
reactome:PathwayStep6872,bp3:stepProcess,reactome:BiochemicalReaction5489
reactome:PathwayStep6854,bp3:stepProcess,reactome:Catalysis2361
reactome:PathwayStep6863,bp3:stepProcess,reactome:BiochemicalReaction5480
reactome:PathwayStep6837,bp3:stepProcess,reactome:Catalysis2352
reactome:PathwayStep6852,bp3:stepProcess,reactome:Catalysis2359
reactome:PathwayStep6843,bp3:stepProcess,reactome:BiochemicalReaction5461
reactome:PathwayStep6846,bp3:stepProcess,reactome:Catalysis2355
reactome:PathwayStep6827,bp3:stepProcess,reactome:Catalysis2349
reactome:PathwayStep6857,bp3:stepProcess,reactome:Catalysis2362
reactome:PathwayStep6834,bp3:stepProcess,reactome:BiochemicalReaction5453
reactome:PathwayStep6839,bp3:stepProcess,reactome:BiochemicalReaction5457
reactome:PathwayStep6866,bp3:stepProcess,reactome:Catalysis2365
reactome:PathwayStep6836,bp3:stepProcess,reactome:BiochemicalReaction5455
reactome:PathwayStep6826,bp3:stepProcess,reactome:BiochemicalReaction5447
reactome:PathwayStep6869,bp3:stepProcess,reactome:Catalysis2367
reactome:PathwayStep6868,bp3:stepProcess,reactome:BiochemicalReaction5485
reactome:PathwayStep6847,bp3:stepProcess,reactome:BiochemicalReaction5465
reactome:PathwayStep6859,bp3:stepProcess,reactome:BiochemicalReaction5476
reactome:PathwayStep6854,bp3:stepProcess,reactome:BiochemicalReaction5471
reactome:PathwayStep6858,bp3:stepProcess,reactome:Control749
reactome:PathwayStep6849,bp3:stepProcess,reactome:BiochemicalReaction5467
reactome:PathwayStep6858,bp3:stepProcess,reactome:BiochemicalReaction5475
reactome:PathwayStep6871,bp3:stepProcess,reactome:Catalysis2368
reactome:PathwayStep6849,bp3:stepProcess,reactome:Catalysis2358
reactome:PathwayStep6869,bp3:stepProcess,reactome:BiochemicalReaction5486
reactome:PathwayStep6860,bp3:stepProcess,reactome:BiochemicalReaction5477
reactome:PathwayStep6853,bp3:stepProcess,reactome:Catalysis2360
reactome:PathwayStep6853,bp3:stepProcess,reactome:BiochemicalReaction5470
reactome:PathwayStep6863,bp3:stepProcess,reactome:Catalysis2364
reactome:PathwayStep6840,bp3:stepProcess,reactome:BiochemicalReaction5458
reactome:PathwayStep6835,bp3:stepProcess,reactome:BiochemicalReaction5454
reactome:PathwayStep6832,bp3:stepProcess,reactome:Catalysis2350
reactome:PathwayStep6867,bp3:stepProcess,reactome:BiochemicalReaction5484
reactome:PathwayStep6841,bp3:stepProcess,reactome:BiochemicalReaction5459
reactome:PathwayStep6856,bp3:stepProcess,reactome:BiochemicalReaction5473
reactome:PathwayStep6845,bp3:stepProcess,reactome:BiochemicalReaction5463
reactome:PathwayStep6837,bp3:stepProcess,reactome:BiochemicalReaction5456
